movie,sentence,score
더 퍼스트 슬램덩크,와 처음에 스케치 부분하고 마지막이 레전드다 이거 상영 끝나고 볼 듯,10
더 퍼스트 슬램덩크,슬램덩크.. 슬램덩크,10
더 퍼스트 슬램덩크,실제 농구 경기를 보는 것 같았어요. 예전에 좋아했던 그 인물들을 다시 만나니까 너무 반갑네요 :),9
더 퍼스트 슬램덩크,자막으로 한번 더 보고싶을만큼 재미있음!,9
더 퍼스트 슬램덩크,모든게 완벽했다 ㅠㅠ 나의 청소년기 함께한.. ,10
더 퍼스트 슬램덩크,무조건 2번씩은 봐야합니다 ..,10
더 퍼스트 슬램덩크,역동적인 면을 잘 살렸습니다농구기초지식을 어느정도 알고 보면 더 재미있습니다,10
더 퍼스트 슬램덩크,진짜 정말 재밌고 다른 분들도 진짜 꼭 한번 보면 좋겠다고 생각했다. 진짜 너무너무 재밌다,10
더 퍼스트 슬램덩크,진짜 재밌다..정말..최고입니다.꼭 보세요,10
더 퍼스트 슬램덩크,너무재미있고멋있어요!,10
더 퍼스트 슬램덩크,보고싶은데 돈이없다 나는 81년생,10
더 퍼스트 슬램덩크,"여전히 가슴속 울컥 하게 만드는 만화책 슬램덩크만화책에서 느끼지 못함 역동성과 OST 등  더퍼스트 슬램덩크 강추!!처음만난 10대에도, 40대가 된 지금도 여전히 NO.1 만화 슬램덩크후속작도 만들어주세요50대에도 가슴 두근거림을 느끼고 싶어요꼭보세요 ^^",10
더 퍼스트 슬램덩크,미쳤다 어린시절의 추억,10
더 퍼스트 슬램덩크,원작 모르고 봐도 명작이라는 것을 알았음,10
더 퍼스트 슬램덩크,원작 모르고 봐도 명작이라는 것을 알았음,10
더 퍼스트 슬램덩크,원작 모르고 봐도 명작이라는 것을 알았음,10
더 퍼스트 슬램덩크,원작 모르고 봐도 명작이라는 것을 알았음,10
더 퍼스트 슬램덩크,원작 모르고 봐도 명작이라는 것을 알았음,10
더 퍼스트 슬램덩크,300만을 찍은 이유는 충분히 있다. 더  퍼스트니까 더 세컨드를.. 주십시오 감독님.,10
더 퍼스트 슬램덩크,애니 별로 안좋아하는데 이거는 재밌었습니다,10
더 퍼스트 슬램덩크,20년만에 다시 찾아온 첫사랑,10
더 퍼스트 슬램덩크,쩐다,10
더 퍼스트 슬램덩크,이게 앤차관람할정도는 그냥 추억팔이일뿐이잖아? 재미없던데? 경기중에 계속 과거로 전환되는거 짜증났음 ,2
더 퍼스트 슬램덩크,추억이 아니라면 실망함,4
더 퍼스트 슬램덩크,예전에 멈췄던 스토리에서 다시 이어져서 연재되었으면 좋겠다...,8
더 퍼스트 슬램덩크,연출말할것도 없고 ost나오는 타이밍..모든게 완벽,10
더 퍼스트 슬램덩크,"유치한데 , 뻔한데  이상하게 잼있음.  ost도 굳굳 ",10
더 퍼스트 슬램덩크,그냥 봐!!~21#!!,10
더 퍼스트 슬램덩크,작화 대박이에요,8
더 퍼스트 슬램덩크,기대보다 많이 아쉬웠음.. 조금 지루하고 캐릭터 매력을 살리는데 시간상 한계가 있어 보임. 송태섭 스토리가 중간중간 들어가면서 몰입을 방해함. 덕분에 슬램덩크를 추억할 수 있다는 건 좋음. ,6
더 퍼스트 슬램덩크,기존에 슬램덩크 안 봤어도 재밌어요!!!,10
더 퍼스트 슬램덩크,"지나치게 많은 회상씬이었지만, 그마저도 폭발한다. ",9
더 퍼스트 슬램덩크,원작 잘 모르고 봤는데 재미있네요 서사는 조금 지루,8
더 퍼스트 슬램덩크,찐팬일수록 진할 것 같은 그 감동,8
더 퍼스트 슬램덩크,과거회상이 쫌 지루했다,9
더 퍼스트 슬램덩크,진짜...왤케 재밌음??!!?!,10
더 퍼스트 슬램덩크,각성하고  ost나오면서  음악에  맞게  드리블  하는장면  좀  오졌다 ㅎ ㅎ ,10
더 퍼스트 슬램덩크,진짜 4번째 봐도 재밌음..,10
더 퍼스트 슬램덩크,닥치고 슬램덩크 보러 가자,10
더 퍼스트 슬램덩크,역시 여자는 40대 중후반이 가장 아름다울 때다.,10
더 퍼스트 슬램덩크,내추억을 끄집어내서 감동으로 후드려 맞았다.마지막 약 2분간의 무음연출은 만화책으로 처음 슬램덩크 산왕전 볼때의 전율을 뛰어넘었다.,10
더 퍼스트 슬램덩크,그만 보는 법 알려주실 분 구합니다. 더 퍼스트 슬램덩크만 몇 번 보는 건지..,10
더 퍼스트 슬램덩크,얼마만에 슬램덩크.. 눈물이 나네요 너네는 왜 나이를 안 먹니..,10
더 퍼스트 슬램덩크,옛추억의 향수를 느껴 좋았지만....큰기대의 만족은 부족했다,7
더 퍼스트 슬램덩크,최고의 만화 슬램덩크 역시는 역시,10
더 퍼스트 슬램덩크,재밌게 봤어요. 근데 중간 중간 회상씬 때문에 속도감이 줄어서 호불호 갈려요,7
더 퍼스트 슬램덩크,농구 몰라도 보고 나면 드리블 하면서 나오게 만든다는 전설의 영화,8
더 퍼스트 슬램덩크,오랜 시간이 지나 극장에서 다시 만난 슬램덩크라 좋았습니다.,10
더 퍼스트 슬램덩크,슬램덩크 잘 모르는 사람도 몰입해서 볼 수 있는 영화,10
더 퍼스트 슬램덩크,퇴근후 야간으로 보고왔는데 너흰 아직 때묻지않은 청춘이더라 사각사각 스스슥 ost 와 함께 시작되는 소름돋는 오프닝 .시합장면과 ost 가 찰떡 그렇게 바라던 명장면을 영상으로 볼수 있던것에 대한 감동 동시에 나의 청춘도 함께 떠올릴수 있는 동심으로 돌아가는 작품. ,10
더 퍼스트 슬램덩크,처음 스케치가 걸어 나오는 장면과 맨 마지막 장면에서의 극장 안 단합된 침묵의 카타르시스만으로도 다회차 관람할 가치가 있음 ㅋㅋㅋ,10
더 퍼스트 슬램덩크,살아움직이는 북산을 경험 할 수 있는 영광의 순간 ???? (〃`????´〃)?,10
더 퍼스트 슬램덩크,.,9
더 퍼스트 슬램덩크,마지막 장면을 알고보는데도 소름돋음;,10
더 퍼스트 슬램덩크,"원작 부분은 명작 그 자체고, 송태겸의 추가 스토리는 사족으로 느껴진다. 특히 교차편집이 짜증남. 하지만 명작은 여전하네요",8
더 퍼스트 슬램덩크,관심 없는 송태섭의 서사...,1
더 퍼스트 슬램덩크,마지막 볼잡을때 극장안이 아무도 없는줄 ..진짜 재밌었음,10
더 퍼스트 슬램덩크,진짜 레전드 작화고 스토리고 성우들 연기도 다 레전드 꼭 보셈,10
더 퍼스트 슬램덩크,"역시 최고의 만화, 제 인생 최고의 만화 다운 영화",10
